id,o_tribe,n_tribe,OT_lon,OT_lat,NT_lat,NT_lon
"1",馬赫坡社,清流部落,121.188617500000007,24.020830249999999,24.069179999999999,120.953299999999999
"2",斯庫社,清流部落,121.169933099999994,24.038184009999998,24.069179999999999,120.953299999999999
"3",荷戈社,清流部落,121.170565100000005,24.032231320000001,24.069179999999999,120.953299999999999
"4",波阿龍社,清流部落,121.184074699999996,24.036668800000001,24.069179999999999,120.953299999999999
"5",塔羅灣社,清流部落,121.170841600000003,24.022309560000000,24.069179999999999,120.953299999999999
"6",羅多夫社,清流部落,121.143743299999997,24.029958400000002,24.069179999999999,120.953299999999999
"7",庫庫斯社,武界部落,121.054084099999997,23.880272189999999,23.916190000000000,121.046199999999999
"8",帕那巴拉社,武界部落,121.041099700000004,23.827739449999999,23.916190000000000,121.046199999999999
"9",比拉烏社,武界部落,121.058308199999999,23.820198319999999,23.916190000000000,121.046199999999999
"10",阿桑來嘎,武界部落,121.082944499999996,23.799502740000001,23.916190000000000,121.046199999999999
"11",黑老社*,武界部落,121.052829599999995,23.822239530000001,23.916190000000000,121.046199999999999
"16",庫庫斯社,萬豐部落,121.054084099999997,23.880272189999999,23.947130000000001,121.075999999999993
"14",魯倫社,萬豐部落,121.020687699999996,23.830687860000001,23.947130000000001,121.075999999999993
"15",巴庫拉斯社,萬豐部落,121.004584800000003,23.810786090000001,23.947130000000001,121.075999999999993
"12",斗肯社,萬豐部落,121.078521899999998,23.877834080000000,23.947130000000001,121.075999999999993
"13",賽可社,萬豐部落,121.035656500000002,23.884524700000000,23.947130000000001,121.075999999999993
"101",特富野社,久美部落,120.756162000000003,23.465050510000001,23.615310000000001,120.884299999999996
"102",楠仔腳萬社,久美部落,120.886486099999999,23.612957099999999,23.615310000000001,120.884299999999996
"103",良久社,久美部落,121.033667100000002,23.876761689999999,23.615310000000001,120.884299999999996
"104",望鄉社,希哪巴瀾部落,121.046028300000003,23.709624240000000,23.640049999999999,120.869299999999996
"105",卡特克蘭社,希哪巴瀾部落,121.036632800000007,23.717433339999999,23.640049999999999,120.869299999999996
"106",塔哈班社,希哪巴瀾部落,121.098961900000006,23.736804899999999,23.640049999999999,120.869299999999996
"107",龍凱班社,希哪巴瀾部落,121.017922100000007,23.737083630000001,23.640049999999999,120.869299999999996
"108",巒大社,希哪巴瀾部落,121.043205900000004,23.697691020000001,23.640049999999999,120.869299999999996
"109",望鄉社,望鄉部落,121.046028300000003,23.709624240000000,23.601140000000001,120.884500000000003
"110",卡特克蘭社,望鄉部落,121.036632800000007,23.717433339999999,23.601140000000001,120.884500000000003
"111",巒大社,望鄉部落,121.043205900000004,23.697691020000001,23.601140000000001,120.884500000000003
"112",伊細特步安社,望鄉部落,121.028086200000004,23.691210340000001,23.601140000000001,120.884500000000003
"113",伊巴厚社,羅娜部落,121.032705800000002,23.658363269999999,23.628810000000001,120.870199999999997
"114",郡大社,羅娜部落,121.024712899999997,23.644219589999999,23.628810000000001,120.870199999999997
"115",伊巴丹社,羅娜部落,121.005175399999999,23.620416140000000,23.628810000000001,120.870199999999997
"116",紅科社,羅娜部落,121.028702499999994,23.621103580000000,23.628810000000001,120.870199999999997
"117",馬西塔倫社,羅娜部落,121.013161299999993,23.599657810000000,23.628810000000001,120.870199999999997
"118",哈特蘭社,羅娜部落,121.000182899999999,23.587295630000000,23.628810000000001,120.870199999999997
"119",海諾南社,羅娜部落,121.026073699999998,23.581658330000000,23.628810000000001,120.870199999999997
